eRenyi2,ESSRenyi,VanillaAvgRet,AvgEpLen,ESSClassic,AvgRet,VarJ,VarRet,VarNormIw,MinVanillaIw,AvgDiscRet,AvgNormIw,Bound,BatchSize,MinNormIw,J,VarVanillaIw,VarDiscRet,MaxVanillaIw,MaxNormIw,AvgVanillaIw
179.67253,2.7828405202573347,121.43619995933116,13.148,2.1167661812312955,121.43619995933116,19437.576,72188.00666418133,0.0009427229,,121.43619995933116,0.002,1263.3513,500,,3785.451,248.03557,72188.00666418133,341.711,0.6661837,1.0258762
105.78386,4.7266190090919045,382.693892861799,39.28,1.3621828657326527,382.693892861799,9561.7295,260267.50245035315,0.0014671659,,382.693892861799,0.0020000003,2578.004,500,,4513.5635,421.20642,260267.50245035315,458.67075,0.8560381,1.071613
10.787272,46.35091976810749,2307.4911616575037,231.546,47.325045272847845,2307.4911616575037,727.75543,3299654.05017905,3.8337592e-05,,2307.4911616575037,0.002,4228.218,500,,4846.316,8.746132,3299654.05017905,21.398954,0.044801954,0.9552688
1.5679609,318.88551129251107,4770.239814226683,477.192,308.8657417149117,4770.239814226683,159.60118,614409.6704717053,2.4802664e-06,0.00066282327,4770.239814226683,0.002,4726.317,500,1.3121895e-06,4961.968,0.6328498,614409.6704717053,3.2179298,0.0063705277,1.0102553
1.1306282,442.2320153827386,4947.247891444217,494.78,441.07508844089114,4947.247891444217,121.44043,122368.2462777338,5.354458e-07,0.07188408,4947.247891444217,0.002,4781.74,500,0.0001449019,4981.8467,0.13177493,122368.2462777338,1.667571,0.0033614424,0.9921758
1.0157524,492.2459281455187,4992.355551156146,499.264,492.6290795272192,4992.355551156146,36.078667,7707.719681383727,5.996927e-08,0.32538727,4992.355551156146,0.002,4806.8306,500,0.00064444216,4996.499,0.015288399,7707.719681383727,1.1375858,0.0022530328,1.0098262
1.0425819,479.5786234118254,4979.27589813995,497.956,476.91599569259546,4979.27589813995,89.37544,53374.64691333461,1.939987e-07,0.1826339,4979.27589813995,0.002,4799.1665,500,0.00036855138,4991.3237,0.04763932,53374.64691333461,1.3117946,0.0026471738,0.99109066
1.0012188,499.3913439392525,4998.047004012476,499.828,499.4185989045241,4998.047004012476,21.614489,611.5208434925161,4.6659765e-09,0.8198186,4998.047004012476,0.0019999999,4809.9736,500,0.001640521,4998.2803,0.0011652377,611.5208434925161,1.0605001,0.0021221435,0.9994613
1.0064746,496.7835184055376,4996.6609293069205,499.684,496.3038780549744,4996.6609293069205,25.024675,4631.98455529761,2.9849158e-08,0.363603,4996.6609293069205,0.0019999999,4809.8296,500,0.0007318874,4998.63,0.0073671318,4631.98455529761,1.0992596,0.0022126723,0.99360365
1.0038991,498.05802323532333,4997.556408362799,499.774,498.2337812486933,4997.556408362799,28.387238,2263.275542248221,1.42078145e-08,0.5955653,4997.556408362799,0.002,4809.883,500,0.0011887758,4998.4414,0.0035660402,2263.275542248221,1.0870326,0.002169767,1.0019809
1.0003048,499.847637366206,4999.227450440061,499.938,499.80206365153,4999.227450440061,13.001097,204.8953173077088,1.5874065e-09,0.86503726,4999.227450440061,0.002,4811.065,500,0.0017327534,4999.2856,0.00039562548,204.8953173077088,1.0244037,0.0020519798,0.998454
1.0065125,496.7648079131717,4996.806824808,499.698,496.7252078246351,4996.806824808,22.997683,3129.957454973247,2.6423926e-08,0.39368564,4996.806824808,0.002,4809.723,500,0.0007870361,4998.5273,0.00661161,3129.957454973247,1.0934972,0.0021860632,1.0004259
1.0001175,499.9412367273077,4999.416099534525,499.958,499.94397982393,4999.416099534525,9.45677,99.95646565861931,4.4902945e-10,0.93623626,4999.416099534525,0.002,4811.238,500,0.0018727519,4999.441,0.00011222387,99.95646565861931,1.019503,0.0020393103,0.9998508
1.0472409,477.4450866959905,4980.314457811331,498.048,479.50078627869857,4980.314457811331,128.54451,95495.94267572364,1.7134666e-07,0.14942822,4980.314457811331,0.002,4799.7075,500,0.00029530193,4992.2935,0.04387411,95495.94267572364,1.368199,0.002703852,1.0120369
1.004636,497.6926722498184,4997.630786895721,499.78,497.5795651065768,4997.630786895721,24.01014,2464.2715907031156,1.9496946e-08,0.4820702,4997.630786895721,0.002,4810.15,500,0.0009672735,4998.778,0.004842711,2464.2715907031156,1.0776552,0.0021623143,0.9967609
1.0000007,499.99964237238714,4999.859264072133,500.0,499.99947281143204,4999.859264072133,0.18293238,0.03366645501928194,3.5362436e-12,0.9957433,4999.859264072133,0.002,4811.668,500,0.001991401,4999.8604,8.8413583e-07,0.03366645501928194,1.001777,0.002003468,1.0000429
1.0110347,494.54285456235186,4994.963871658998,499.512,494.2502797233526,4994.963871658998,43.49593,12022.442401760367,4.6625846e-08,0.39736676,4994.963871658998,0.002,4808.6973,500,0.0007932044,4997.925,0.011701446,12022.442401760367,1.1392736,0.002274163,1.0019279
1.0,500.0,4999.86433697205,500.0,500.00000664260017,4999.86433697205,0.14426216,0.02085380300952575,5.431875e-20,1.0,4999.86433697205,0.0020000003,4811.6724,500,0.002,4999.8647,,0.02085380300952575,1.0,0.002,1.0
1.0,500.0,4999.863922469536,500.0,500.00000664260017,4999.863922469536,0.13318212,0.01776980403119831,5.431875e-20,1.0,4999.863922469536,0.0020000003,4811.6724,500,0.002,4999.8647,,0.01776980403119831,1.0,0.002,1.0
1.0029887,498.51010479482284,4997.927253344728,499.808,498.7821122732783,4997.927253344728,29.304226,1882.5632951764444,9.786078e-09,0.6777721,4997.927253344728,0.002,4810.0845,500,0.0013512406,4998.5576,0.0024621282,1882.5632951764444,1.1055374,0.002204055,1.0031849
1.0102202,494.9416125690481,4989.866611411578,499.002,494.8347043635142,4989.866611411578,178.10669,49997.34902042142,4.183723e-08,0.65998864,4989.866611411578,0.002,4802.746,500,0.0013123077,4991.8975,0.010581921,49997.34902042142,1.387569,0.0027590133,1.0058444
1.0150113,492.60534812717833,4989.884406100275,499.004,492.3305314292458,4989.884406100275,156.83235,49797.894025862166,6.243639e-08,0.32849222,4989.884406100275,0.002,4803.25,500,0.0006528485,4992.8496,0.015807498,49797.894025862166,1.3205371,0.0026244477,1.0063353
1.0000032,499.9983906797709,4999.855832937943,500.0,499.9981948383543,4999.855832937943,0.17238672,0.029912944553025445,1.502014e-11,0.99316216,4999.855832937943,0.0019999999,4811.664,500,0.0019863613,4999.8564,3.7548925e-06,0.029912944553025445,1.0036485,0.0020073345,0.9999814
1.0,500.0,4999.873067743877,500.0,500.00000664260017,4999.873067743877,0.13708806,0.018831496328253164,5.431875e-20,1.0,4999.873067743877,0.0020000003,4811.681,500,0.002,4999.8735,,0.018831496328253164,1.0,0.002,1.0
1.0,500.0,4999.851751422904,500.0,500.00000664260017,4999.851751422904,0.21227919,0.04514992393361229,5.431875e-20,1.0,4999.851751422904,0.0020000003,4811.66,500,0.002,4999.8525,,0.04514992393361229,1.0,0.002,1.0
1.0,500.0,4999.863241665322,500.0,500.00000664260017,4999.863241665322,0.14400059,0.02077736015044831,5.431875e-20,1.0,4999.863241665322,0.0020000003,4811.672,500,0.002,4999.8643,,0.02077736015044831,1.0,0.002,1.0
1.0,500.0,4999.871269590171,500.0,499.9998633278972,4999.871269590171,0.1795508,0.032391027969949374,7.228565e-13,0.9968307,4999.871269590171,0.002,4811.6797,500,0.0019936997,4999.872,1.8070706e-07,0.032391027969949374,1.0005068,0.0020010518,0.9999808
1.0211041,489.6660402104127,4990.2897774368,499.044,487.4770971017722,4990.2897774368,109.779434,45889.585478875415,1.0296284e-07,0.3690721,4990.2897774368,0.002,4804.8022,500,0.00073911564,4994.9697,0.02567309,45889.585478875415,1.2465144,0.0024963098,0.99868566
