BatchSize,J,MinVanillaIw,MinNormIw,ESSClassic,eRenyi2,MaxVanillaIw,AvgEpLen,Bound,EpsThisIter,ESSRenyi,VarNormIw,AvgVanillaIw,VarJ,AvgDiscRet,IterType,AvgRet,VanillaAvgRet,VarRet,MaxNormIw,VarDiscRet,Delta,VarVanillaIw,AvgNormIw
100,-34.90222,6.749334e-13,5.735861e-15,37.80874584231627,3.046341,4.3048,200.0,-369.55063,100,32.82626662325628,0.00016615058,1.1766907,75.00987,-2044.7715891227383,1,-2044.7715891227383,-2044.7715891227383,5097504.599955674,0.036583956,5097504.599955674,0.9,2.3005226,0.01
100,-8.685375,0.002115465,2.2342101e-05,65.39532887426734,1.4662602,1.9312977,200.0,-14.443938,100,68.200719323974,5.3450596e-05,0.94685143,9.036126,-12.019816018681555,1,-12.019816018681555,-12.019816018681555,268.5472061045022,0.02039705,268.5472061045022,0.9,0.47919938,0.01
100,-7.9001074,0.026345007,0.00027333284,89.31570841450693,1.0812938,1.2704288,200.0,-9.279244,100,92.48180099332455,1.2083247e-05,0.96384346,7.6452036,-8.779452037116961,1,-8.779452037116961,-8.779452037116961,71.28119773665964,0.013180862,71.28119773665964,0.9,0.11225266,0.01
200,-14.753116,0.78713584,0.0037492244,14.852061529197462,1.2667885,37.957855,200.0,-15.766474,100,157.8795534824335,0.0005790981,2.0994632,21.261148,-10.601892666027906,,-8.779452037116961,-8.779452037116961,71.28119773665964,0.1807979,67.78356812326585,0.9,25.525173,0.01
200,-6.7363157,,,40.945228467303494,5.324031,7.5090647,200.0,-8.900234,100,37.565522186502434,9.760235e-05,1.1106201,14.866942,-9.214754772077118,1,-9.214754772077118,-9.214754772077118,72.49373934403332,0.033805728,72.49373934403332,0.9,4.8156104,0.005
200,-7.485081,1.0,0.01,100.0,1.0,1.0,200.0,-8.262789,100,200.0,3.5044917e-18,1.0,6.769729,-7.485081362583543,2,-7.485081362583543,-7.485081362583543,46.2921535037952,0.01,46.2921535037952,0.9,,0.009999998
200,-4.045247,,,17.885703659888577,12.2057905,16.92674,200.0,-5.971419,100,16.385665449277305,0.00025583204,1.1111624,10.540615,-8.32145754325277,1,-8.32145754325277,-8.32145754325277,48.08160230182085,0.076166816,48.08160230182085,0.9,12.634849,0.0049999994
200,-7.7660065,1.0,0.01,100.0,1.0,1.0,200.0,-8.53668,100,200.0,3.5044917e-18,1.0,6.411638,-7.766007047182675,2,-7.766007047182675,-7.766007047182675,41.52434641166902,0.01,41.52434641166902,0.9,,0.009999998
300,nan,0.05907812,nan,nan,nan,inf,200.0,nan,100,nan,nan,inf,nan,-8.804167520742016,,-8.32145754325277,-8.32145754325277,48.08160230182085,nan,51.12343243844354,0.9,nan,nan
300,-0.63233614,,,1.5023103908897077,96.208786,69.66168,200.0,-5.0477743,100,3.1182183295245354,0.002215077,0.29329458,7.8741026,-7.6033976554764795,1,-7.6033976554764795,-7.6033976554764795,55.75791301441812,0.7917146,55.75791301441812,0.9,17.149023,0.0033333336
