BatchSize,AvgEpLen,AvgNormIw,Delta,VarJ,ESSClassic,VarRet,MaxVanillaIw,AvgRet,VarVanillaIw,ESSRenyi,MinVanillaIw,AvgVanillaIw,J,AvgDiscRet,VarNormIw,eRenyi2,EpsThisIter,MinNormIw,VanillaAvgRet,Bound,IterType,VarDiscRet,MaxNormIw
100,200.0,0.01,0.9,68.17682,34.543165997741234,5041644.783798056,4.2843556,-2191.3146972309055,2.562666,32.910672909354695,2.4745346e-21,1.15709,-32.28404,-2191.3146972309055,0.00019140694,3.038528,100,2.1385844e-23,-2191.3146972309055,-366.93826,1,5041644.783798056,0.037026986
100,200.0,0.01,0.9,7.1661754,4.775643720607887,74.18776886012868,16.644136,-9.566460738797348,6.6974325,5.143255147787359,,0.5766518,-2.436003,-9.566460738797348,0.0020141,19.44294,100,,-9.566460738797348,-7.0451345,1,74.18776886012868,0.2886341
200,200.0,nan,0.9,nan,nan,74.18776886012868,inf,-9.566460738797348,nan,nan,0.06008122,inf,nan,-7.961111795867127,nan,nan,100,nan,-9.566460738797348,nan,,48.19797889990778,nan
200,200.0,0.0049999994,0.9,16.173504,188.8586938348726,127210.56205295038,1.2184998,-44.37106431954638,0.058286697,189.08873858460612,0.055709414,0.9915079,-9.411303,-44.37106431954638,1.482235e-06,1.0577044,100,0.00028093279,-44.37106431954638,-96.057274,1,127210.56205295038,0.00614468
200,200.0,0.009999998,0.9,9.215569,100.0,85.78455677413668,1.0,-9.466130464581704,,200.0,1.0,1.0,-9.46613,-9.466130464581704,3.5044917e-18,1.0,100,0.01,-9.466130464581704,-10.416948,2,85.78455677413668,0.01
200,200.0,0.005,0.9,4.0926213,3.2484726312817536,78.51230321126182,38.35094,-8.7193350653638,9.50397,7.163376614025415,,0.3951342,-0.8264416,-8.7193350653638,0.001521794,27.919794,100,,-8.7193350653638,-4.4073186,1,78.51230321126182,0.48529008
200,200.0,0.009999998,0.9,7.1470914,100.0,51.59688738119691,1.0,-7.23056864917647,,200.0,1.0,1.0,-7.230569,-7.23056864917647,3.5044917e-18,1.0,100,0.01,-7.23056864917647,-7.9778914,2,51.59688738119691,0.01
300,200.0,nan,0.9,nan,nan,78.51230321126182,inf,-8.7193350653638,nan,nan,0.02607498,inf,nan,-8.422471618158443,nan,nan,100,nan,-8.7193350653638,nan,,45.94112002142499,nan
300,200.0,0.0033333336,0.9,8.324951,6.702089872881377,78.90435605914223,66.832054,-10.106011412960568,54.464287,6.335772957823547,,1.1137341,-1.3657467,-10.106011412960568,0.00048787254,47.35018,100,,-10.106011412960568,-5.1733217,1,78.90435605914223,0.20002396
300,200.0,0.009999998,0.9,7.614456,100.0,58.56560318354219,1.0,-8.39376387863719,,300.0,1.0,1.0,-8.393764,-8.39376387863719,3.5044917e-18,1.0,100,0.01,-8.39376387863719,-9.215524,2,58.56560318354219,0.01
