VarDiscRet,VanillaAvgRet,AvgEpLen,AvgRet,VarVanillaIw,BatchSize,Bound,Delta,MaxVanillaIw,IterType,MaxNormIw,MinVanillaIw,ESSClassic,EpsThisIter,AvgNormIw,MinNormIw,ESSRenyi,eRenyi2,VarRet,VarNormIw,AvgDiscRet,J,AvgVanillaIw,VarJ
5463222.727061674,-2239.9711417629874,200.0,-2239.9711417629874,2.312845,100,-365.06644,0.9,4.297605,1,0.03840107,2.6247113e-20,35.35861229990642,100,0.010000002,2.3453e-22,32.73330269913891,3.0549927,5463222.727061674,0.00018466313,-2239.9711417629874,-29.537745,1.1191367,77.211365
112.54140821656802,-12.45342901381914,200.0,-12.45342901381914,3.0146039,100,-9.132972,0.9,6.217437,1,0.07261142,,19.721744102504598,100,0.01,,22.09477179925326,4.5259576,112.54140821656802,0.0004111662,-12.45342901381914,-5.4760256,0.8562615,11.948551
48.14236689865374,-8.234604203378364,200.0,-8.234604203378364,10.416327,100,-7.1166945,0.9,11.409782,1,0.08501599,,14.869279479583724,100,0.01,,12.299427417231206,8.13046,48.14236689865374,0.0005783107,-8.234604203378364,-4.953196,1.3420749,13.097253
56.68798223664777,-8.234604203378364,200.0,-8.234604203378364,nan,200,nan,0.9,inf,,nan,0.087644085,nan,100,nan,nan,nan,nan,48.14236689865374,nan,-8.125830439153242,nan,inf,nan
42.98610901052169,-7.578838906784427,200.0,-7.578838906784427,6.3827767,200,-7.3797803,0.9,10.449614,1,0.051812325,,27.603822073646167,100,0.005,,27.004770561396473,7.406099,42.98610901052169,0.00015691892,-7.578838906784427,-5.919693,1.00841,15.748775
41.86863184625094,-6.993760189507229,200.0,-6.993760189507229,,200,-7.7486176,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,200.0,1.0,41.86863184625094,3.5044917e-18,-6.993760189507229,-6.99376,1.0,6.4381633
58.18544616469686,-7.578838906784427,200.0,-7.578838906784427,nan,300,nan,0.9,inf,,nan,0.09569731,nan,100,nan,nan,nan,nan,42.98610901052169,nan,-8.395683704245748,nan,inf,nan
49.23973709293681,-7.531497889533028,200.0,-7.531497889533028,0.2958782,300,-8.033895,0.9,1.6654992,1,0.0055679195,0.00014612752,231.3705568941817,100,0.0033333334,4.8851797e-07,231.46091432391253,1.2961152,49.23973709293681,3.3068159e-06,-7.531497889533028,-7.535171,0.9970805,7.664725
49.043759995436574,-6.980678092315106,200.0,-6.980678092315106,,300,-7.7521014,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,300.0,1.0,49.043759995436574,3.5044917e-18,-6.980678092315106,-6.980678,1.0,6.968021
54.5883819781996,-8.693652401876157,200.0,-8.693652401876157,,300,-8.388024,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,300.0,1.0,54.5883819781996,2.179301e-19,-8.693652401876157,-7.8371654,1.0,7.2132845
51.44775419082287,-7.783345479533898,200.0,-7.783345479533898,7.876875,300,-6.203637,0.9,27.315437,1,0.17505737,,9.993482081467358,100,0.0033333334,,13.922573177724576,21.54774,51.44775419082287,0.00032351806,-7.783345479533898,-4.115803,0.52012354,16.57433
57.260230022566304,-8.157864632059981,200.0,-8.157864632059981,,300,-8.918038,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,300.0,1.0,57.260230022566304,3.5044917e-18,-8.157864632059981,-8.157864,1.0,7.529119
47.61887599468009,-7.958297239508364,200.0,-7.958297239508364,,300,-8.597541,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,300.0,1.0,47.61887599468009,2.179301e-19,-7.958297239508364,-8.058081,1.0,7.205908
51.67875251096747,-7.783345479533898,200.0,-7.783345479533898,nan,400,nan,0.9,inf,,nan,0.036609337,nan,100,nan,nan,nan,nan,51.44775419082287,nan,-8.121129394867438,nan,inf,nan
46.64514630642563,-6.621019939052879,200.0,-6.621019939052879,5.7504544,400,-3.1266043,0.9,47.94327,1,0.94687134,,1.1142611438869638,100,0.0025,,6.898739632080729,57.981606,46.64514630642563,0.0022429968,-6.621019939052879,-0.1606062,0.12658338,3.4245384
50.79715939698928,-7.036878009798551,200.0,-7.036878009798551,,400,-7.7945704,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,400.0,1.0,50.79715939698928,3.5044917e-18,-7.036878009798551,-7.0368776,1.0,7.091487
54.17098193971266,-9.009732565715023,200.0,-9.009732565715023,,400,-8.57215,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,400.0,1.0,54.17098193971266,2.179301e-19,-9.009732565715023,-8.023305,1.0,7.275457
43.08773920710383,-8.37471371469462,200.0,-8.37471371469462,,400,-8.596024,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,400.0,1.0,43.08773920710383,5.4391416e-20,-8.37471371469462,-8.140441,1.0,7.0380807
54.37207591788489,-6.621019939052879,200.0,-6.621019939052879,nan,500,nan,0.9,inf,,nan,0.020857984,nan,100,nan,nan,nan,nan,46.64514630642563,nan,-7.725883405639849,nan,inf,nan
50.741568426360885,-8.02699680416273,200.0,-8.02699680416273,38.54542,500,-7.157175,0.9,64.237076,1,0.15033008,,9.316186917508398,100,0.0019999999,,10.939964573985566,45.703987,50.741568426360885,0.00021110226,-8.02699680416273,-4.8018665,0.8546138,47.26695
52.25347466491694,-7.302860233776791,200.0,-7.302860233776791,,500,-8.061299,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,52.25347466491694,3.5044917e-18,-7.302860233776791,-7.30286,1.0,7.1924224
39.15080735576602,-8.234081357069215,200.0,-8.234081357069215,,500,-8.308279,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,39.15080735576602,2.179301e-19,-8.234081357069215,-7.768471,1.0,6.7425447
49.93030795454484,-7.823856269479161,200.0,-7.823856269479161,,500,-8.239418,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,49.93030795454484,5.4391416e-20,-7.823856269479161,-7.7869334,1.0,6.840002
52.250327350603605,-9.675953126964435,200.0,-9.675953126964435,,500,-8.655366,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,52.250327350603605,5.434597e-20,-9.675953126964435,-8.259188,1.0,6.9778395
45.40352595004322,-8.163342500218695,200.0,-8.163342500218695,239.23735,500,-7.276406,0.9,211.94385,1,0.32091945,,3.627088435240998,100,0.002,,2.5867843329348057,193.29018,45.40352595004322,0.00054850354,-8.163342500218695,-2.349887,1.3208538,39.452927
55.56490183862442,-8.740304358986933,200.0,-8.740304358986933,,500,-9.5231495,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,55.56490183862442,3.5044917e-18,-8.740304358986933,-8.740305,1.0,7.416822
56.920456579616044,-8.982006526749512,200.0,-8.982006526749512,,500,-9.423801,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,56.920456579616044,2.179301e-19,-8.982006526749512,-8.861155,1.0,7.4628987
53.92235889212956,-8.206872601870225,200.0,-8.206872601870225,,500,-9.102461,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,53.92235889212956,5.4391416e-20,-8.206872601870225,-8.643062,1.0,7.417507
50.29657689091814,-7.468884538737081,200.0,-7.468884538737081,,500,-8.748728,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,50.29657689091814,5.434597e-20,-7.468884538737081,-8.349517,1.0,7.3465276
48.229190235611924,-8.008239727195736,200.0,-8.008239727195736,8.879035,500,-7.369523,0.9,13.015539,1,0.025064047,,54.25860197838041,100,0.002,,54.29329134749341,9.209241,48.229190235611924,3.2926368e-05,-8.008239727195736,-6.285946,1.0385824,19.102098
46.91815243777089,-8.889724595258684,200.0,-8.889724595258684,,500,-9.678732,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,46.91815243777089,3.5044917e-18,-8.889724595258684,-8.889725,1.0,6.815348
52.62024890825162,-8.63089439052217,200.0,-8.63089439052217,,500,-9.318221,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,52.62024890825162,2.179301e-19,-8.63089439052217,-8.760309,1.0,7.02056
47.37142409353199,-7.441671395701572,200.0,-7.441671395701572,,500,-8.77893,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,47.37142409353199,5.4391416e-20,-7.441671395701572,-8.320764,1.0,6.9912667
50.647261660908924,-7.2586586431342,200.0,-7.2586586431342,,500,-8.452021,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,50.647261660908924,5.434597e-20,-7.2586586431342,-8.055237,1.0,7.0288734
48.154264859240755,-7.556833418850261,200.0,-7.556833418850261,11.056408,500,-5.3313103,0.9,52.254135,1,0.42421737,,2.7350658542785964,100,0.002,,2.8890376942361633,173.06801,48.154264859240755,0.000728701,-7.556833418850261,-0.6361897,0.24635547,10.309501
50.12542116034668,-8.79018904062274,200.0,-8.79018904062274,,500,-9.586548,0.9,1.0,2,0.01,1.0,100.0,100,0.009999998,0.01,500.0,1.0,50.12542116034668,3.5044917e-18,-8.79018904062274,-8.790188,1.0,7.044442
44.96518102871958,-8.067141584962087,200.0,-8.067141584962087,,500,-8.991777,0.9,1.0,2,0.005,1.0,200.00000010221265,100,0.0049999994,0.005,500.0,1.0,44.96518102871958,2.179301e-19,-8.067141584962087,-8.428665,1.0,6.8702655
57.03628627838112,-7.8169571857870155,200.0,-7.8169571857870155,,500,-8.684542,0.9,1.0,2,0.0033333334,1.0,299.999969473632,100,0.0033333336,0.0033333334,500.0,1.0,57.03628627838112,5.4391416e-20,-7.8169571857870155,-8.224763,1.0,7.097335
60.268917006956165,-8.039643413006038,200.0,-8.039643413006038,,500,-8.576662,0.9,1.0,2,0.0025,1.0,400.0,100,0.0024999997,0.0025,500.0,1.0,60.268917006956165,5.434597e-20,-8.039643413006038,-8.178482,1.0,7.259621
