AvgVanillaIw,MaxVanillaIw,AvgRet,VarRet,VarJ,Delta,VarDiscRet,VanillaAvgRet,ESSClassic,J,AvgEpLen,AvgNormIw,VarNormIw,AvgDiscRet,Bound,EpsThisIter,ESSRenyi,MinVanillaIw,MaxNormIw,MinNormIw,eRenyi2,IterType,VarVanillaIw,BatchSize
1.0062227,4.307923,-2125.774681933838,5428848.116911493,85.04318,0.9,5428848.116911493,-2125.774681933838,32.43255840762651,-34.1205,200.0,0.01,0.00021043645,-2125.774681933838,-370.27814,100,32.60922111671101,3.2886302e-31,0.042812817,3.2682927e-33,3.0666173,1,2.1306357,100
0.35422993,28.627914,-10.606669091137512,86.32227737787943,4.5395474,0.9,86.32227737787943,-10.606669091137512,1.5016012093280664,-1.055819,200.0,0.01,0.006625817,-10.606669091137512,-9.150579,100,3.503958333820655,,0.80817324,,28.539152,1,8.313997,100
inf,inf,-10.606669091137512,86.32227737787943,nan,0.9,121.93071431310987,-10.606669091137512,nan,nan,200.0,nan,nan,-12.365245614942642,nan,100,nan,0.03493094,nan,nan,nan,,nan,200
1.0086356,1.3580118,-63.43855668290609,149635.27605544793,19.66674,0.9,149635.27605544793,-63.43855668290609,180.10635725750384,-11.148848,200.0,0.005,2.7752503e-06,-63.43855668290609,-80.32854,100,177.89979991964552,0.054541625,0.0067319246,0.00027037328,1.1242284,1,0.11293557,200
1.0,1.0,-11.626291527775631,72.71467723828007,8.484547,0.9,72.71467723828007,-11.626291527775631,100.0,-11.62629,200.0,0.009999998,3.5044917e-18,-11.626291527775631,-12.569738,100,200.0,1.0,0.01,0.01,1.0,2,,200
0.8503584,16.642609,-8.277866570519599,69.38072523397764,17.772127,0.9,69.38072523397764,-8.277866570519599,15.325324558123585,-5.5798855,200.0,0.005,0.00030277125,-8.277866570519599,-7.87261,100,17.18004405210919,,0.09785643,,11.641414,1,8.757471,200
1.0,1.0,-7.492854534957326,55.31059011733675,7.39983,0.9,55.31059011733675,-7.492854534957326,100.0,-7.492854,200.0,0.009999998,3.5044917e-18,-7.492854534957326,-8.315005,100,200.0,1.0,0.01,0.01,1.0,2,,200
inf,inf,-8.277866570519599,69.38072523397764,nan,0.9,60.96522686122231,-8.277866570519599,nan,nan,200.0,nan,nan,-8.904315130606333,nan,100,nan,0.060086735,nan,nan,nan,,nan,300
0.9606838,12.23095,-8.391260723620945,57.86360123512604,16.18794,0.9,57.86360123512604,-8.391260723620945,34.70370032945169,-6.3378506,200.0,0.0033333336,8.52242e-05,-8.391260723620945,-8.082586,100,35.191018958703246,,0.04243835,,8.524902,1,7.07891,300
1.0,1.0,-8.488357793239278,45.269430119446426,6.69453,0.9,45.269430119446426,-8.488357793239278,100.0,-8.4883585,200.0,0.009999998,3.5044917e-18,-8.488357793239278,-9.416586,100,300.0,1.0,0.01,0.01,1.0,2,,300
