AvgEpLen,AvgRet,BatchSize,J,VarDiscRet,MaxVanillaIw,eRenyi2,EpsThisIter,AvgNormIw,ESSRenyi,MaxNormIw,Bound,VanillaAvgRet,MinVanillaIw,VarRet,AvgVanillaIw,VarJ,VarNormIw,VarVanillaIw,Delta,MinNormIw,ESSClassic,AvgDiscRet,IterType
200.0,-2196.902641571039,100,-31.469425,5072027.350511447,4.1702657,2.9833379,100,0.01,33.519501997358596,0.046144787,-363.07755,-2196.902641571039,2.7808083e-18,5072027.350511447,0.903735,85.48906,0.00021167028,1.7287893,0.9,3.0770175e-20,32.304586867705716,-2196.902641571039,1
200.0,-55.14134671962832,100,-11.135391,105901.40406790901,1.3877141,1.1394459,100,0.01,87.76195510424638,0.013866704,-108.39885,-55.14134671962832,0.02997376,105901.40406790901,1.0007527,19.345219,1.5374562e-05,0.15397717,0.9,0.00029951215,86.78986707882679,-55.14134671962832,1
200.0,-8.505721759620302,100,-2.3924983,64.81565612369523,25.197569,17.884445,100,0.01,5.591451059019261,0.23855257,-6.35005,-8.505721759620302,,64.81565612369523,1.056269,9.428528,0.0014468897,16.143013,0.9,,6.525623743303453,-8.505721759620302,1
200.0,-8.505721759620302,200,nan,38.60464219897686,inf,nan,100,nan,nan,nan,nan,-8.505721759620302,0.039686367,64.81565612369523,inf,nan,nan,nan,0.9,nan,nan,-6.516760048452616,
200.0,-8.986446994542764,200,-1.0911828,62.88454739472544,42.688663,63.374264,100,0.005,3.155855202461804,0.87848055,-6.3900824,-8.986446994542764,,62.88454739472544,0.24296875,8.862755,0.0038847956,9.173373,0.9,,1.2852241303897687,-8.986446994542764,1
200.0,-8.735261015917152,200,-8.735261,51.82801878082461,1.0,1.0,100,0.009999998,200.0,0.01,-9.492793,-8.735261015917152,1.0,51.82801878082461,1.0,7.163081,3.5044917e-18,,0.9,0.01,100.0,-8.735261015917152,2
200.0,-8.986446994542764,300,nan,48.73791741626413,inf,nan,100,nan,nan,nan,nan,-8.986446994542764,0.023425423,62.88454739472544,inf,nan,nan,nan,0.9,nan,nan,-7.108209871358638,
200.0,-6.5239259552544855,300,-3.2864273,47.261922236696535,34.03033,25.288572,100,0.0033333334,11.863065906047407,0.12558256,-6.0194664,-6.5239259552544855,,47.261922236696535,0.9032658,13.089465,0.0002569119,18.865051,0.9,,12.476604912678656,-6.5239259552544855,1
200.0,-8.166377763356403,300,-8.166378,51.470727906101295,1.0,1.0,100,0.009999998,300.0,0.01,-8.940077,-8.166377763356403,1.0,51.470727906101295,1.0,7.138349,3.5044917e-18,,0.9,0.01,100.0,-8.166377763356403,2
200.0,-7.0752729241812755,300,-7.6208253,44.78426232780967,1.0,1.0,100,0.0049999994,300.0,0.005,-8.176156,-7.0752729241812755,1.0,44.78426232780967,1.0,6.9241495,2.179301e-19,,0.9,0.005,200.00000010221265,-7.0752729241812755,2
