AvgNormIw,VarRet,ESSRenyi,MinVanillaIw,AvgRet,VarVanillaIw,BatchSize,AvgEpLen,Delta,IterType,MinNormIw,VarJ,VanillaAvgRet,AvgVanillaIw,ESSClassic,AvgDiscRet,VarNormIw,VarDiscRet,eRenyi2,MaxVanillaIw,EpsThisIter,MaxNormIw,J,Bound
0.009999998,4934377.3354836665,31.76662418043468,1.2584015e-13,-1915.3125033288115,1.807188,100,200.0,0.9,1,1.2489242e-15,66.40474,-1915.3125033288115,1.0075884,36.20211917918525,-1915.3125033288115,0.000178007,4934377.3354836665,3.147958,4.4158316,100,0.04382575,-25.947336,-366.3188
0.01,83381.79340972865,91.17756837876338,0.070344396,-40.01459351981044,0.08394692,100,200.0,0.9,1,0.00069137063,21.754242,-40.01459351981044,1.017463,92.56864646516199,-40.01459351981044,8.109006e-06,83381.79340972865,1.096761,1.3030593,100,0.012806946,-11.689004,-112.76385
0.01,83785.71385851892,95.08817008893523,0.034713265,-38.77925660482778,0.060863726,100,200.0,0.9,1,0.00035123658,13.446652,-38.77925660482778,0.98831576,94.18960017128069,-38.77925660482778,6.231134e-06,83785.71385851892,1.0516555,1.2035596,100,0.012177886,-10.510477,-109.74692
0.009999998,60.057406807701135,84.07989256034084,0.056968663,-8.6425406754549,0.19254893,100,200.0,0.9,1,0.0005565488,8.775364,-8.6425406754549,1.0236058,84.60720166113194,-8.6425406754549,1.8377044e-05,60.057406807701135,1.189345,1.4894007,100,0.01455053,-8.398245,-9.434292
0.009999999,60.057406807701135,59.459191644675286,0.671411,-8.6425406754549,8.118398,200,200.0,0.9,,0.0037430446,15.950658,-8.6425406754549,1.7937562,28.588411494128525,-10.640149645395216,0.00025231522,76.87886825910289,3.3636515,17.55351,100,0.09785895,-9.663499,-11.399123
0.005,78.35245788444695,179.01003401434943,0.11335699,-9.15219252055028,0.101775356,200,200.0,0.9,1,0.00055792707,8.079047,-9.15219252055028,1.0158764,182.12846656672087,-9.15219252055028,2.4654764e-06,78.35245788444695,1.1172558,1.3753191,100,0.006769126,-8.81668,-9.526727
0.009999998,69.8128418753074,200.0,1.0,-7.917805022562706,,200,200.0,0.9,2,0.01,8.313526,-7.917805022562706,1.0,100.0,-7.917805022562706,3.5044917e-18,69.8128418753074,1.0,1.0,100,0.01,-7.917805,-8.831773
0.005,65.24847718543322,10.649475451056638,,-8.241116471408649,7.1093564,200,200.0,0.9,1,,6.954484,-8.241116471408649,0.51618516,7.2598846623186954,-8.241116471408649,0.00066705147,65.24847718543322,18.780268,25.34423,100,0.24549553,-2.4944458,-5.3483973
0.009999998,36.87455410793232,200.0,1.0,-6.511106170503256,,200,200.0,0.9,2,0.01,6.0420036,-6.511106170503256,1.0,100.0,-6.511106170503256,3.5044917e-18,36.87455410793232,1.0,1.0,100,0.01,-6.5111055,-7.2766213
nan,65.24847718543322,nan,0.03945671,-8.241116471408649,nan,300,200.0,0.9,,nan,nan,-8.241116471408649,inf,nan,-8.709568845091768,nan,50.56365499531696,nan,inf,100,nan,nan,nan
