MaxNormIw,ESSRenyi,BatchSize,VarJ,AvgRet,MinNormIw,IterType,MinVanillaIw,Delta,EpsThisIter,VarVanillaIw,AvgDiscRet,J,VarRet,eRenyi2,VanillaAvgRet,MaxVanillaIw,AvgNormIw,AvgEpLen,VarDiscRet,VarNormIw,Bound,AvgVanillaIw,ESSClassic
0.04371306,32.95424555293318,100,74.99388,-2272.6724538656777,5.6039912e-27,1,5.4609093e-25,0.9,100,2.2403798,-2272.6724538656777,-28.475693,5586745.295865174,3.0345104,-2272.6724538656777,4.259697,0.01,200.0,5586745.295865174,0.0002359319,-362.84247,0.9744679,29.978488808972653
0.012900498,89.07053752105821,100,18.606113,-61.67598106187059,0.00030108995,1,0.031616073,0.9,100,0.12308026,-61.67598106187059,-10.380589,141479.52586715907,1.1227057,-61.67598106187059,1.354622,0.01,200.0,141479.52586715907,1.1162592e-05,-113.815155,1.0500541,90.04872546205218
0.047622807,31.156539940398307,100,13.390372,-9.473262609785287,5.8808034e-26,1,5.5253467e-24,0.9,100,2.319376,-9.473262609785287,-7.099016,69.43698738551741,3.209599,-9.473262609785287,4.4744315,0.009999999,200.0,69.43698738551741,0.00026273954,-8.7362995,0.9395564,27.769130832711777
0.43105963,nan,200,32.13656,-9.473262609785287,5.323031e-25,,0.22349207,0.9,100,inf,-9.337987728071454,-6.969261,69.43698738551741,nan,-9.473262609785287,1.8098412e+23,0.010000002,200.0,71.16590645476089,0.0037833808,-inf,4.1985866e+21,
0.25334036,10.879495468709893,200,12.333819,-9.320288301134287,,1,,0.9,100,9.385633,-9.320288301134287,-2.1819475,76.8179243476078,18.383205,-9.320288301134287,23.864521,0.005,200.0,76.8179243476078,0.0010577106,-5.070444,0.4709972,4.6407077577948925
0.01,200.0,200,8.01589,-9.053403274779317,0.01,2,1.0,0.9,100,,-9.053403274779317,-9.053404,64.90352857459158,1.0,-9.053403274779317,1.0,0.009999998,200.0,64.90352857459158,3.5044917e-18,-9.861489,1.0,100.0
nan,nan,300,nan,-9.320288301134287,nan,,0.04190321,0.9,100,nan,-9.368986900843977,nan,76.8179243476078,nan,-9.320288301134287,inf,nan,200.0,62.135808636570914,nan,nan,inf,nan
0.28701767,11.125371711851866,300,12.646477,-8.344868312811982,,1,,0.9,100,11.679134,-8.344868312811982,-1.6377437,59.61700946478185,26.965391,-8.344868312811982,37.98065,0.0033333334,200.0,59.61700946478185,0.0006669651,-4.4941425,0.44109538,4.932038696292039
0.01,300.0,300,7.283617,-7.921076369430481,0.01,2,1.0,0.9,100,,-7.921076369430481,-7.921076,53.58694773728295,1.0,-7.921076369430481,1.0,0.009999998,200.0,53.58694773728295,3.5044917e-18,-8.718557,1.0,100.0
0.005,300.0,300,7.4436035,-8.429484531533982,0.005,2,1.0,0.9,100,,-8.429484531533982,-8.175281,58.21631330836361,1.0,-8.429484531533982,1.0,0.0049999994,200.0,58.21631330836361,2.179301e-19,-8.744544,1.0,200.00000010221265
