ESSRenyi,AvgDiscRet,AvgEpLen,MaxNormIw,BatchSize,VarRet,MaxVanillaIw,MinNormIw,VarDiscRet,VanillaAvgRet,AvgRet,IterType,AvgNormIw,eRenyi2,VarJ,VarNormIw,Bound,VarVanillaIw,AvgVanillaIw,J,Delta,EpsThisIter,MinVanillaIw,ESSClassic
33.44241329243566,-2260.0783278196886,200.0,0.04482959,100,5498495.06690662,4.193939,6.89535e-32,5498495.06690662,-2260.0783278196886,-2260.0783278196886,1,0.009999999,2.9902148,71.31053,0.0002000699,-360.16098,1.7510414,0.93552923,-28.187544,0.9,100,6.4508015e-30,33.54925875299783
93.41513358019512,-41.2380580386647,200.0,0.012467473,100,92496.50510882078,1.2467176,0.00043518498,92496.50510882078,-41.2380580386647,-41.2380580386647,1,0.01,1.0704904,16.183905,8.077871e-06,-116.30841,0.08077486,0.9999762,-11.112772,0.9,100,0.043517463,92.59509172578154
60.9259167531077,-10.6464755860712,200.0,0.019691953,100,138.98103676242968,2.1976936,1.1797796e-08,138.98103676242968,-10.6464755860712,-10.6464755860712,1,0.01,1.6413376,8.516583,5.243071e-05,-11.686053,0.653044,1.1160363,-7.812752,0.9,100,1.3166768e-06,65.83000416338616
6.054013008747054,-8.391539918813384,200.0,0.18463936,100,58.82404304094695,22.371548,,58.82404304094695,-8.391539918813384,-8.391539918813384,1,0.010000002,16.51797,11.812858,0.0014182036,-6.2277017,20.82006,1.2116349,-2.754733,0.9,100,,6.648840304780919
nan,-8.946222323501127,200.0,nan,200,58.82404304094695,inf,nan,60.50610829311442,-8.391539918813384,-8.391539918813384,,nan,nan,nan,nan,nan,nan,inf,nan,0.9,100,0.04469963,nan
12.753340242057517,-8.36138993798901,200.0,0.12869199,200,53.921921399184704,21.887978,,53.921921399184704,-8.36138993798901,-8.36138993798901,1,0.005,15.682166,13.795794,0.0004449602,-5.394744,12.871506,0.8504017,-2.9463015,0.9,100,,10.689804040361272
200.0,-8.182838694390197,200.0,0.01,200,46.34665719977665,1.0,0.01,46.34665719977665,-8.182838694390197,-8.182838694390197,2,0.009999998,1.0,6.7737136,3.5044917e-18,-8.990374,,1.0,-8.182838,0.9,100,1.0,100.0
nan,-7.464630278223888,200.0,nan,300,53.921921399184704,inf,nan,42.63116596888597,-8.36138993798901,-8.36138993798901,,nan,nan,nan,nan,nan,nan,inf,nan,0.9,100,0.045687184,nan
8.249646120946387,-9.185694817646914,200.0,0.19522032,300,56.94575094121517,51.183865,,56.94575094121517,-9.185694817646914,-9.185694817646914,1,0.0033333332,36.365196,13.308905,0.00044418222,-5.2787104,30.533533,0.8739504,-1.9820644,0.9,100,,7.345173906024026
300.0,-7.055034309978273,200.0,0.01,300,48.12832663262792,1.0,0.01,48.12832663262792,-7.055034309978273,-7.055034309978273,2,0.009999998,1.0,6.9026833,3.5044917e-18,-7.863267,,1.0,-7.055034,0.9,100,1.0,100.0
300.0,-8.031452310423205,200.0,0.005,300,48.57195579709234,1.0,0.005,48.57195579709234,-8.031452310423205,-8.031452310423205,2,0.0049999994,1.0,6.9357758,2.179301e-19,-8.11475,,1.0,-7.5432434,0.9,100,1.0,200.00000010221265
nan,-7.87474230097231,200.0,nan,400,56.94575094121517,inf,nan,52.83516742474742,-9.185694817646914,-9.185694817646914,,nan,nan,nan,nan,nan,nan,inf,nan,0.9,100,0.019537408,nan
4.2889554129852225,-7.602799111341512,200.0,0.36317056,400,49.991398974378164,82.03781,,49.991398974378164,-7.602799111341512,-7.602799111341512,1,0.0025,93.2628,7.383021,0.00057926186,-5.605512,29.558458,0.5647333,-1.0334278,0.9,100,,4.280354778464762
400.0,-7.326166778913274,200.0,0.01,400,50.244950517503526,1.0,0.01,50.244950517503526,-7.326166778913274,-7.326166778913274,2,0.009999998,1.0,7.0528364,3.5044917e-18,-8.13336,,1.0,-7.3261666,0.9,100,1.0,100.0
400.0,-7.745146906446946,200.0,0.005,400,41.82160462386917,1.0,0.005,41.82160462386917,-7.745146906446946,-7.745146906446946,2,0.0049999994,1.0,6.754023,2.179301e-19,-8.106429,,1.0,-7.535657,0.9,100,1.0,200.00000010221265
400.0,-7.354757099413091,200.0,0.0033333334,400,42.6410566922987,1.0,0.0033333334,42.6410566922987,-7.354757099413091,-7.354757099413091,2,0.0033333336,1.0,6.670086,5.4391416e-20,-7.9413905,,1.0,-7.475357,0.9,100,1.0,299.999969473632
nan,-8.33933501612281,200.0,nan,500,49.991398974378164,inf,nan,54.51109829273195,-7.602799111341512,-7.602799111341512,,nan,nan,nan,nan,nan,nan,inf,nan,0.9,100,0.0121895,nan
17.194722571903988,-8.204678281826174,200.0,0.13325444,500,51.777472845862164,53.582634,1.5559765e-31,51.777472845862164,-8.204678281826174,-8.204678281826174,1,0.002,29.07869,23.03288,0.00012860807,-7.4360666,20.794714,0.8042153,-5.1526117,0.9,100,6.2567006e-29,15.111349179586938
500.0,-7.849606539222694,200.0,0.01,500,46.003264995733275,1.0,0.01,46.003264995733275,-7.849606539222694,-7.849606539222694,2,0.009999998,1.0,6.748573,3.5044917e-18,-8.626331,,1.0,-7.849606,0.9,100,1.0,100.0
500.0,-7.841617585557958,200.0,0.005,500,54.75194783674892,1.0,0.005,54.75194783674892,-7.841617585557958,-7.841617585557958,2,0.0049999994,1.0,7.062142,2.179301e-19,-8.397359,,1.0,-7.8456116,0.9,100,1.0,200.00000010221265
500.0,-7.858144735347372,200.0,0.0033333334,500,42.441387182763336,1.0,0.0033333334,42.441387182763336,-7.858144735347372,-7.858144735347372,2,0.0033333336,1.0,6.8742213,5.4391416e-20,-8.303152,,1.0,-7.8497896,0.9,100,1.0,299.999969473632
500.0,-8.937723854677307,200.0,0.0025,500,62.6675007763334,1.0,0.0025,62.6675007763334,-8.937723854677307,-8.937723854677307,2,0.0024999997,1.0,7.1535525,5.434597e-20,-8.529936,,1.0,-8.121773,0.9,100,1.0,400.0
16.223514962055972,-8.629298875172646,200.0,0.079231836,500,55.67639516896821,43.379112,,55.67639516896821,-8.629298875172646,-8.629298875172646,1,0.002,30.819462,24.364004,0.00010580367,-6.7208643,31.714836,1.0949919,-4.694154,0.9,100,,18.249498703799194
