MinNormIw,Bound,EpsThisIter,VarVanillaIw,VanillaAvgRet,AvgEpLen,MaxVanillaIw,J,ESSRenyi,BatchSize,VarJ,MinVanillaIw,AvgRet,MaxNormIw,eRenyi2,VarNormIw,VarDiscRet,IterType,Delta,AvgNormIw,VarRet,AvgVanillaIw,ESSClassic,AvgDiscRet
5.1544973e-23,-358.06796,100,1.9838918,-2354.4409318044777,200.0,4.1456585,-28.227657,33.88144760069448,100,86.48223,4.752663e-21,-2354.4409318044777,0.04496171,2.9514678,0.00023335467,5568613.234846926,1,0.9,0.01,5568613.234846926,0.922042,30.20955171763837,-2354.4409318044777
0.00017390164,-117.43901,100,0.14120203,-67.23937768657342,200.0,1.3646468,-11.171446,88.6437589668953,100,19.520138,0.017264713,-67.23937768657342,0.013745628,1.128111,1.4326157e-05,156208.83082134556,1,0.9,0.01,156208.83082134556,0.99278605,87.57880516421031,-67.23937768657342
0.0003022401,-114.58711,100,0.036973547,-40.74991794787748,200.0,1.1813066,-11.287105,95.89773113359182,100,12.3485365,0.0311775,-40.74991794787748,0.011451792,1.0427775,3.4746633e-06,91528.94129431137,1,0.9,0.01,91528.94129431137,1.0315474,96.67449132820634,-40.74991794787748
8.0204745e-19,-6.382553,100,9.430658,-8.308295616881276,200.0,23.095772,-3.1689558,8.108544077047005,100,14.213879,6.6157733e-17,-8.308295616881276,0.27999607,12.33267,0.0013860565,69.17225787843743,1,0.9,0.009999998,69.17225787843743,0.82486063,6.792574985556818,-8.308295616881276
2.6004098e-18,-inf,100,2.2895307e+30,-8.308295616881276,200.0,1.5115391e+16,-0.69507253,nan,200,6.192363,0.043297965,-8.308295616881276,0.90780735,nan,0.008258387,60.51035574127963,,0.9,0.01,69.17225787843743,166504390000000.0,1.2083422336373209,-7.888660048888138
,-6.691899,100,16.460276,-8.509790072985629,200.0,37.656055,-2.630649,5.49976927294701,200,12.068135,,-8.509790072985629,0.25921106,36.36516,0.0007799639,70.41191950592382,1,0.9,0.005,70.41191950592382,0.72635895,6.241697460004648,-8.509790072985629
0.01,-9.545688,100,,-8.734868207948004,200.0,1.0,-8.734868,200.0,200,7.216854,1.0,-8.734868207948004,0.01,1.0,3.5044917e-18,52.60906919867929,2,0.9,0.009999998,52.60906919867929,1.0,100.0,-8.734868207948004
nan,nan,100,nan,-8.509790072985629,200.0,inf,nan,nan,300,nan,0.026556153,-8.509790072985629,nan,nan,nan,60.85168844269174,,0.9,nan,70.41191950592382,inf,nan,-9.252673476347912
,-5.6414375,100,18.342615,-9.21774441537167,200.0,41.35454,-2.0156245,6.991768292411876,300,8.220951,,-9.21774441537167,0.20600666,42.9076,0.0004551739,82.11370571436967,1,0.9,0.0033333334,82.11370571436967,0.6691457,7.172041544924482,-9.21774441537167
0.01,-7.844663,100,,-7.054412743882239,200.0,1.0,-7.054413,300.0,300,6.828058,1.0,-7.054412743882239,0.01,1.0,3.5044917e-18,47.09330931968204,2,0.9,0.009999998,47.09330931968204,1.0,100.0,-7.054412743882239
