Delta,J,VarRet,AvgNormIw,Bound,MaxVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,MinVanillaIw,EpsThisIter,MinNormIw,MaxNormIw,VarNormIw,ESSRenyi,eRenyi2,AvgDiscRet,BatchSize,ESSClassic,VarVanillaIw,AvgRet,AvgEpLen,VanillaAvgRet,IterType
0.9,-34.715702,5431123.553287243,0.01,-377.28827,4.469155,85.42017,5431123.553287243,0.79347235,2.816129e-28,100,3.5491203e-30,0.056324013,0.00024835672,31.379989516820594,3.1867442,-2221.133161934185,100,28.91233568269579,1.5636498,-2221.133161934185,200.0,-2221.133161934185,1
0.9,-11.740058,298462.37874258857,0.01,-137.48306,1.3715502,18.307848,298462.37874258857,0.8815343,0.00083361147,100,9.45637e-06,0.015558671,1.9784617e-05,88.37086610656155,1.1315947,-117.15109598571183,100,83.62128314769998,0.15374678,-117.15109598571183,200.0,-117.15109598571183,1
0.9,-1.3299879,61.368763064555054,0.01,-4.567869,17.399675,3.2827494,61.368763064555054,0.46937716,,100,,0.37069708,0.0027342027,8.054196473738925,12.415888,-8.39107765608138,100,3.5626995767823453,6.023856,-8.39107765608138,200.0,-8.39107765608138,1
0.9,nan,61.368763064555054,nan,nan,inf,nan,51.25675084220049,inf,0.05747234,100,nan,nan,nan,nan,nan,-8.8380355048478,200,nan,nan,-8.39107765608138,200.0,-8.39107765608138,
0.9,-7.4767823,65.46077093004256,0.005,-8.748011,5.365918,12.616879,65.46077093004256,0.96430695,,100,,0.027822666,7.169877e-05,52.251263270223596,3.8276587,-9.605059030702499,200,51.899376291906904,2.666873,-9.605059030702499,200.0,-9.605059030702499,1
0.9,-9.354471,59.86509772789888,0.009999998,-10.246769,1.0,7.6984706,59.86509772789888,1.0,1.0,100,0.01,0.01,3.5044917e-18,200.0,1.0,-9.35447238848103,200,100.0,,-9.35447238848103,200.0,-9.35447238848103,2
0.9,nan,65.46077093004256,nan,nan,inf,nan,59.796760152028696,inf,0.18636139,100,nan,nan,nan,nan,nan,-8.95372149642325,300,nan,nan,-9.605059030702499,200.0,-9.605059030702499,
0.9,-7.966044,74.23835557565029,0.0033333334,-8.723144,2.7868412,10.60736,74.23835557565029,0.9468633,7.545417e-12,100,2.6562853e-14,0.009810783,1.2744285e-05,147.31213473903864,2.036492,-8.951279356567042,300,139.9800508772241,1.0283301,-8.951279356567042,200.0,-8.951279356567042,1
0.9,-9.18014,57.02270706859176,0.009999998,-10.019534,1.0,7.513487,57.02270706859176,1.0,1.0,100,0.01,0.01,3.5044917e-18,300.0,1.0,-9.180139867272153,300,100.0,,-9.180139867272153,200.0,-9.180139867272153,2
0.9,-8.406776,50.76672862303508,0.0049999994,-9.000319,1.0,7.3453293,50.76672862303508,1.0,1.0,100,0.005,0.005,2.179301e-19,300.0,1.0,-7.633411842676185,300,200.00000010221265,,-7.633411842676185,200.0,-7.633411842676185,2
