IterType,VarRet,AvgDiscRet,VarJ,MaxNormIw,Bound,AvgEpLen,VarNormIw,AvgNormIw,VarDiscRet,VarVanillaIw,EpsThisIter,J,BatchSize,MinVanillaIw,eRenyi2,ESSClassic,AvgRet,AvgVanillaIw,Delta,VanillaAvgRet,ESSRenyi,MaxVanillaIw,MinNormIw
1,5261281.007394519,-2065.3470960959526,81.80831,0.045641012,-369.1313,200.0,0.00021079202,0.01,5261281.007394519,1.8947572,100,-32.240604,100,7.496013e-20,3.0820942,32.39557731200268,-2065.3470960959526,0.9480904,0.9,-2065.3470960959526,32.44547173255854,4.3271804,7.906433e-22
1,75.06368598310361,-8.87626980058558,8.207836,0.37163013,-5.6619253,200.0,0.0025952326,0.01,75.06368598310361,9.359608,100,-1.6382123,100,,16.741823,3.7463277839684435,-8.87626980058558,0.6005382,0.9,-8.87626980058558,5.973065109266985,22.31781,
,75.06368598310361,-8.770818879274257,nan,nan,nan,200.0,nan,nan,58.16343991752032,nan,100,nan,200,0.044807263,nan,nan,-8.87626980058558,inf,0.9,-8.87626980058558,nan,inf,nan
1,97.36824499579087,-10.405150241630189,12.704862,0.08358371,-8.264192,200.0,0.0002530247,0.005,97.36824499579087,4.6347485,100,-4.963868,200,,8.014867,18.06622110503365,-10.405150241630189,0.6767085,0.9,-10.405150241630189,24.95362733643678,11.312363,
2,46.08781872605725,-7.741314282434298,6.7547717,0.01,-8.553141,200.0,3.5044917e-18,0.009999998,46.08781872605725,,100,-7.7413144,200,1.0,1.0,100.0,-7.741314282434298,1.0,0.9,-7.741314282434298,200.0,1.0,0.01
1,59.9024329783743,-8.711749110887816,7.1958632,0.012154035,-8.739836,200.0,1.4380314e-06,0.005,59.9024329783743,0.057694707,100,-8.135658,200,0.8361951,1.1077279,189.17295034487526,-8.711749110887816,1.0015066,0.9,-8.711749110887816,180.5497565456112,2.4344692,0.004174686
2,51.30891640078218,-9.057724049250533,7.1271195,0.01,-9.848478,200.0,3.5044917e-18,0.009999998,51.30891640078218,,100,-9.057723,200,1.0,1.0,100.0,-9.057724049250533,1.0,0.9,-9.057724049250533,200.0,1.0,0.01
,59.9024329783743,-8.95220918656539,7.571583,0.0057655997,-9.462384,200.0,6.723273e-07,0.005,65.65014182509996,0.028925212,100,-8.860914,300,0.41076714,1.0485591,194.78771720237773,-8.711749110887816,1.0370935,0.9,-8.711749110887816,286.1069144200553,1.1958932,0.0019803767
1,52.390726602505595,-7.389909214040582,19.581982,0.044605196,-7.47474,200.0,9.489023e-05,0.0033333334,52.390726602505595,6.748473,100,-6.116717,300,,8.3947935,31.540256639238226,-7.389909214040582,0.8889366,0.9,-7.389909214040582,35.73643587862148,11.895357,
2,57.789979299619716,-9.5626872144176,7.5638666,0.01,-10.38505,200.0,3.5044917e-18,0.009999998,57.789979299619716,,100,-9.562687,300,1.0,1.0,100.0,-9.5626872144176,1.0,0.9,-9.5626872144176,300.0,1.0,0.01
2,61.67892459580644,-8.729565595295576,7.7013392,0.005,-9.728756,200.0,2.179301e-19,0.0049999994,61.67892459580644,,100,-9.146127,300,1.0,1.0,200.00000010221265,-8.729565595295576,1.0,0.9,-8.729565595295576,300.0,1.0,0.005
,52.390726602505595,-8.277021638516253,nan,nan,nan,200.0,nan,nan,52.90847274075038,nan,100,nan,400,0.08406642,nan,nan,-7.389909214040582,inf,0.9,-7.389909214040582,nan,inf,nan
1,54.62025268819292,-9.616670212196986,10.975022,0.008076626,-8.483618,200.0,8.890992e-06,0.0025,54.62025268819292,1.4489791,100,-7.8532987,400,1.4659549e-16,2.3599436,165.35741001465567,-9.616670212196986,1.0092435,0.9,-9.616670212196986,169.49557404735611,3.2605128,3.6313213e-19
2,45.58984280183763,-6.585514831660373,6.7181807,0.01,-7.3898597,200.0,3.5044917e-18,0.009999998,45.58984280183763,,100,-6.5855145,400,1.0,1.0,100.0,-6.585514831660373,1.0,0.9,-6.585514831660373,400.0,1.0,0.01
2,58.1957450532583,-7.716469890156927,7.1898284,0.005,-7.7197504,200.0,2.179301e-19,0.0049999994,58.1957450532583,,100,-7.1509924,400,1.0,1.0,200.00000010221265,-7.716469890156927,1.0,0.9,-7.716469890156927,400.0,1.0,0.005
2,56.336350791714914,-8.362200602444283,7.3061223,0.0033333334,-8.024487,200.0,5.4391416e-20,0.0033333336,56.336350791714914,,100,-7.554729,400,1.0,1.0,299.999969473632,-8.362200602444283,1.0,0.9,-8.362200602444283,400.0,1.0,0.0033333334
1,59.12392172124143,-8.163349198255107,7.522726,0.0068034246,-8.006976,200.0,4.418739e-07,0.0025,59.12392172124143,0.06577303,100,-7.553438,400,0.78870165,1.2428473,373.6490694641843,-8.163349198255107,0.96452785,0.9,-8.163349198255107,321.841623233378,2.624837,0.002044269
2,64.09232853115729,-9.683223620649384,7.965639,0.01,-10.496313,200.0,3.5044917e-18,0.009999998,64.09232853115729,,100,-9.683225,400,1.0,1.0,100.0,-9.683223620649384,1.0,0.9,-9.683223620649384,400.0,1.0,0.01
2,56.81897811517744,-8.113656087523628,7.7760515,0.005,-9.473854,200.0,2.179301e-19,0.0049999994,56.81897811517744,,100,-8.898439,400,1.0,1.0,200.00000010221265,-8.113656087523628,1.0,0.9,-8.113656087523628,400.0,1.0,0.005
2,40.55859453534535,-7.611796946879574,7.3527913,0.0033333334,-8.939383,200.0,5.4391416e-20,0.0033333336,40.55859453534535,,100,-8.469559,400,1.0,1.0,299.999969473632,-7.611796946879574,1.0,0.9,-7.611796946879574,400.0,1.0,0.0033333334
,59.12392172124143,-7.861435977831896,7.498052,0.0029163267,-8.7145815,200.0,2.0685678e-07,0.0025,51.54689604402912,0.039099563,100,-8.291844,500,0.38097605,1.0794641,387.21630573646326,-8.163349198255107,1.0869037,0.9,-8.163349198255107,463.1928104080738,1.2679065,0.0008762875
1,58.1900816382282,-9.016556498557792,7.7080507,0.0076362374,-8.204887,200.0,6.022873e-07,0.0019999999,58.1900816382282,0.14793408,100,-7.7858233,500,0.7768539,1.3263613,434.68037473036514,-9.016556498557792,0.9912023,0.9,-9.016556498557792,376.97119219508687,3.784528,0.0015674983
2,49.44262062394933,-7.440130296883209,6.9962983,0.01,-8.218876,200.0,3.5044917e-18,0.009999998,49.44262062394933,,100,-7.44013,500,1.0,1.0,100.0,-7.440130296883209,1.0,0.9,-7.440130296883209,500.0,1.0,0.01
2,51.46979432248416,-8.079463653456228,7.0748734,0.005,-8.327796,200.0,2.179301e-19,0.0049999994,51.46979432248416,,100,-7.759797,500,1.0,1.0,200.00000010221265,-8.079463653456228,1.0,0.9,-8.079463653456228,500.0,1.0,0.005
2,51.567736340110116,-9.717324099308893,7.15808,0.0033333334,-8.876076,200.0,5.4391416e-20,0.0033333336,51.567736340110116,,100,-8.412307,500,1.0,1.0,299.999969473632,-9.717324099308893,1.0,0.9,-9.717324099308893,500.0,1.0,0.0033333334
2,51.31198956380168,-8.17584987519048,7.151139,0.0025,-8.758399,200.0,5.434597e-20,0.0024999997,51.31198956380168,,100,-8.353191,500,1.0,1.0,400.0,-8.17584987519048,1.0,0.9,-8.17584987519048,500.0,1.0,0.0025
1,68.0278979102687,-8.354054141523724,13.410396,0.029033307,-8.269662,200.0,1.646354e-05,0.002,68.0278979102687,5.7187877,100,-7.429968,500,6.931865e-05,5.3677993,97.89231732944639,-8.354054141523724,1.1787463,0.9,-8.354054141523724,93.1480433088797,17.111452,1.176142e-07
2,52.82091933025361,-6.954019940343773,7.2313704,0.01,-7.7575693,200.0,3.5044917e-18,0.009999998,52.82091933025361,,100,-6.95402,500,1.0,1.0,100.0,-6.954019940343773,1.0,0.9,-6.954019940343773,500.0,1.0,0.01
2,47.52634569847946,-6.924381932687188,7.047845,0.005,-7.5185246,200.0,2.179301e-19,0.0049999994,47.52634569847946,,100,-6.939201,500,1.0,1.0,200.00000010221265,-6.924381932687188,1.0,0.9,-6.924381932687188,500.0,1.0,0.005
2,53.709866306160365,-7.9602020507078715,7.1463737,0.0033333334,-7.7529693,200.0,5.4391416e-20,0.0033333336,53.709866306160365,,100,-7.2795353,500,1.0,1.0,299.999969473632,-7.9602020507078715,1.0,0.9,-7.9602020507078715,500.0,1.0,0.0033333334
2,59.4474660948392,-9.848638709689688,7.3657174,0.0025,-8.331816,200.0,5.434597e-20,0.0024999997,59.4474660948392,,100,-7.92181,500,1.0,1.0,400.0,-9.848638709689688,1.0,0.9,-9.848638709689688,500.0,1.0,0.0025
1,41.54584951809281,-7.868904962454128,9.7306795,0.59778637,-4.727804,200.0,0.00091016566,0.0019999999,41.54584951809281,33.989853,100,-1.4131732,500,,81.69589,2.1921523629090225,-7.868904962454128,0.38649547,0.9,-7.868904962454128,6.120258751271474,115.52087,
2,51.52673109432647,-7.2711793398647515,7.1422305,0.01,-8.084378,200.0,3.5044917e-18,0.009999998,51.52673109432647,,100,-7.2711787,500,1.0,1.0,100.0,-7.2711793398647515,1.0,0.9,-7.2711793398647515,500.0,1.0,0.01
2,52.76207068690462,-8.277776433544517,7.2025185,0.005,-8.349497,200.0,2.179301e-19,0.0049999994,52.76207068690462,,100,-7.774478,500,1.0,1.0,200.00000010221265,-8.277776433544517,1.0,0.9,-8.277776433544517,500.0,1.0,0.005
2,50.55743964500805,-7.413536138079878,7.162198,0.0033333334,-8.130925,200.0,5.4391416e-20,0.0033333336,50.55743964500805,,100,-7.654164,500,1.0,1.0,299.999969473632,-7.413536138079878,1.0,0.9,-7.413536138079878,500.0,1.0,0.0033333334
2,62.735717243862545,-9.622999786539115,7.3977504,0.0025,-8.559261,200.0,5.434597e-20,0.0024999997,62.735717243862545,,100,-8.146374,500,1.0,1.0,400.0,-9.622999786539115,1.0,0.9,-9.622999786539115,500.0,1.0,0.0025
1,60.14936995546769,-8.1123286920676,14.452469,0.010911968,-8.1712265,200.0,1.1518282e-05,0.002,60.14936995546769,3.8531845,100,-7.409993,500,3.8199524e-20,4.2489543,129.0718624235913,-8.1123286920676,1.1567674,0.9,-8.1123286920676,117.67601276801616,6.311304,6.60453e-23
2,49.10471205523655,-8.790738607010827,6.9723496,0.01,-9.61555,200.0,3.5044917e-18,0.009999998,49.10471205523655,,100,-8.790739,500,1.0,1.0,100.0,-8.790738607010827,1.0,0.9,-8.790738607010827,500.0,1.0,0.01
2,52.913022475742544,-7.3709954851903206,7.141617,0.005,-8.664097,200.0,2.179301e-19,0.0049999994,52.913022475742544,,100,-8.080867,500,1.0,1.0,200.00000010221265,-7.3709954851903206,1.0,0.9,-7.3709954851903206,500.0,1.0,0.005
2,53.765995032787664,-7.8264146851459655,7.1943703,0.0033333334,-8.472367,200.0,5.4391416e-20,0.0033333336,53.765995032787664,,100,-7.99605,500,1.0,1.0,299.999969473632,-7.8264146851459655,1.0,0.9,-7.8264146851459655,500.0,1.0,0.0033333334
