J,VarNormIw,ESSRenyi,VarJ,AvgEpLen,Bound,VarDiscRet,MinVanillaIw,MaxNormIw,MinNormIw,VanillaAvgRet,BatchSize,VarRet,AvgVanillaIw,IterType,ESSClassic,eRenyi2,AvgRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgDiscRet,EpsThisIter,Delta
-32.832676,0.0002524609,31.38641653341128,71.15895,200.0,-375.5121,5144458.507002261,2.5910231e-23,0.049198486,2.8457851e-25,-2407.0216078771487,100,5144458.507002261,0.91047746,1,28.57662926349328,3.1860917,-2407.0216078771487,0.01,2.0928235,4.479411,-2407.0216078771487,100,0.9
-11.346189,8.009554e-06,91.89502553988248,21.88119,200.0,-104.88967,71948.11764520957,0.07643801,0.012529267,0.0007450703,-36.02380077166971,100,71948.11764520957,1.0259167,1,92.65310635253479,1.0881982,-36.02380077166971,0.01,0.08430097,1.2853985,-36.02380077166971,100,0.9
-1.2257078,0.0045471597,1.7016478027079376,9.601302,200.0,-8.140678,68.75690306274491,,0.63658404,,-9.546232146579799,100,68.75690306274491,0.12168768,1,2.173115614837732,58.766567,-9.546232146579799,0.01,0.6733385,7.7464433,-9.546232146579799,100,0.9
nan,nan,nan,nan,200.0,nan,78.7596154406174,0.1290915,nan,nan,-9.546232146579799,200,68.75690306274491,inf,,nan,nan,-9.546232146579799,nan,nan,inf,-10.106174216992947,100,0.9
-6.360597,0.00015481502,29.397111329879667,15.6417265,200.0,-8.077186,78.28851438123348,,0.057214856,,-9.669072693569639,200,78.28851438123348,0.83417284,1,27.92657394896814,6.8033895,-9.669072693569639,0.0049999994,4.309086,9.545416,-9.669072693569639,100,0.9
-8.735914,3.5044917e-18,200.0,6.876779,200.0,-9.49516,47.76777088252926,1.0,0.01,0.01,-8.735913573155571,200,47.76777088252926,1.0,2,100.0,1.0,-8.735913573155571,0.009999998,,1.0,-8.735913573155571,100,0.9
-7.9773493,3.4081756e-06,175.15153957442598,7.4443436,200.0,-8.562844,47.24560605558503,0.17295934,0.008123062,0.0008847563,-7.4095187092144155,200,47.24560605558503,0.97744066,1,176.11130357592438,1.1418684,-7.4095187092144155,0.005,0.13024549,1.587962,-7.4095187092144155,100,0.9
-7.473116,3.5044917e-18,200.0,6.7383966,200.0,-8.21887,45.864635702485096,1.0,0.01,0.01,-7.473115942825579,200,45.864635702485096,1.0,2,100.0,1.0,-7.473115942825579,0.009999998,,1.0,-7.473115942825579,100,0.9
-7.138583,2.6008844e-05,102.59281237051471,9.535006,200.0,-7.9533067,56.270225956285934,5.0675464e-10,0.015786525,2.714174e-12,-7.849777703835774,200,56.270225956285934,0.93353385,1,98.27276548492486,1.9494543,-7.849777703835774,0.005,0.9066531,2.947451,-7.849777703835774,100,0.9
-6.2137346,3.5044917e-18,200.0,5.999985,200.0,-6.98178,36.363461806349,1.0,0.01,0.01,-6.213734679654501,200,36.363461806349,1.0,2,100.0,1.0,-6.213734679654501,0.009999998,,1.0,-6.213734679654501,100,0.9
-0.4209628,0.0029233557,2.8184756895935172,6.910448,200.0,-4.9958444,35.117191070278565,,0.7296007,,-6.113843104585303,200,35.117191070278565,0.0025754794,1,1.7043097533548601,70.96034,-6.113843104585303,0.005,0.00077563577,0.37581435,-6.113843104585303,100,0.9
-7.397435,3.5044917e-18,200.0,6.377015,200.0,-8.0800705,41.07709535553794,1.0,0.01,0.01,-7.397435089268024,200,41.07709535553794,1.0,2,100.0,1.0,-7.397435089268024,0.009999998,,1.0,-7.397435089268024,100,0.9
nan,nan,nan,nan,200.0,nan,45.80518889285235,2.6608882,nan,nan,-6.113843104585303,300,35.117191070278565,inf,,nan,nan,-6.113843104585303,nan,nan,inf,-8.100199764547504,100,0.9
-5.0140686,8.423361e-05,33.043788275835915,16.64317,200.0,-6.351127,53.50813965055306,,0.04059482,,-7.7566389989857445,300,53.50813965055306,1.0532154,1,35.064116480235356,9.078862,-7.7566389989857445,0.0033333334,8.409348,12.826526,-7.7566389989857445,100,0.9
-7.9855556,3.5044917e-18,300.0,6.903254,200.0,-8.739708,48.136285344149115,1.0,0.01,0.01,-7.985555909537465,300,48.136285344149115,1.0,2,100.0,1.0,-7.985555909537465,0.009999998,,1.0,-7.985555909537465,100,0.9
-8.28288,2.179301e-19,300.0,7.071632,200.0,-8.830652,52.71133818267695,1.0,0.005,0.005,-8.580203281180578,300,52.71133818267695,1.0,2,200.00000010221265,1.0,-8.580203281180578,0.0049999994,,1.0,-8.580203281180578,100,0.9
nan,nan,nan,nan,200.0,nan,44.37254700906883,0.077963434,nan,nan,-7.7566389989857445,400,53.50813965055306,inf,,nan,nan,-7.7566389989857445,nan,nan,inf,-7.856797861789563,100,0.9
-6.363169,1.611387e-05,118.6447754540224,11.985683,200.0,-7.0694184,46.72015311275512,,0.01292313,,-7.907182208954976,400,46.72015311275512,0.912838,1,111.98917431010462,3.3714085,-7.907182208954976,0.0025,2.148361,4.7186894,-7.907182208954976,100,0.9
-7.6861844,3.5044917e-18,400.0,6.903392,200.0,-8.427886,48.13819983557688,1.0,0.01,0.01,-7.686184176690509,400,48.13819983557688,1.0,2,100.0,1.0,-7.686184176690509,0.009999998,,1.0,-7.686184176690509,100,0.9
